,code,geocode,name,lat,lng,prov_id,tambon_name,amphoe_name,province_name,basin,name_e,tambon_name_e,amphoe_name_e,province_name_e,wl_offset,station_type,left_bank,right_bank,ground_level,rid_critical_level
10,BKK013,130407.0,คลองระพีพัฒน์แยกใต้ หนองเสือ,14.22066,100.89169,13.0,นพรัตน์,หนองเสือ,ปทุมธานี,แม่น้ำเจ้าพระยา,Rabibadhana Nong Suea,Nopparat,Klong Suea,Pathum Thani,0.0,W,3.96,5.025,-0.58,
11,BKK015,130604.0,คลองหกวา ลำลูกกา คลอง8,13.94155,100.77493,13.0,ลำลูกกา,ลำลูกกา,ปทุมธานี,แม่น้ำบางปะกง,Lam Luk Ka Klong8,Lam Luk Ka,Lam Luk Ka,Pathum Thani,0.0,W,2.706,2.789,-2.48,
12,BKK016,240301.0,ปากคลองพระองค์เจ้าฯ (บางน้ำเปรี้ยว),13.83822,100.96671,24.0,บางน้ำเปรี้ยว,บางน้ำเปรี้ยว,ฉะเชิงเทรา,แม่น้ำบางปะกง,Bang Nam Priao,Bang Nam Priao,Bang Nam Priao,Chachoengsao,0.0,W,1.387,1.237,-2.43,
13,BKK017,110603.0,คลองจระเข้ใหญ่ บางเสาธง (วัดศรีวารีน้อย),13.66962,100.80054,11.0,ศีรษะจรเข้ใหญ่,บางเสาธง,สมุทรปราการ,แม่น้ำบางปะกง,Sri Varee Noi Temple,Sisa Chorakhe Yai,Bang Sao Thong,Samut Prakan,0.0,W,,,86.46164426877469,
14,BKK018,120501.0,คลองพระพิมล (ไทรน้อย),13.97395,100.31896,12.0,ไทรน้อย,ไทรน้อย,นนทบุรี,แม่น้ำเจ้าพระยา,Phra Pimol Sai Noi,Sai Noi,Sai Noi,Nonthaburi,0.0,W,4.05,4.36,-2.04,
15,BKK019,730513.0,คลองนราภิรมย์ (บางเลน),13.88213,100.29083,73.0,นราภิรมย์,บางเลน,นครปฐม,แม่น้ำเจ้าพระยา,Khlong Narapirom,Naraphirom,Bang Len,Nakhon Phanom,0.0,W,4.337,3.96,-1.59,
16,BKK020,103801.0,คลองลาดพร้าว ปากคลอง2สายใต้,13.93181,100.63953,10.0,ลาดพร้าว,ลาดพร้าว,กรุงเทพมหานคร,แม่น้ำเจ้าพระยา,Klong Ladprao Klong 2 Sai Tai,Lat Phrao,Lat Phrao,Bangkok,0.0,W,4.4571,4.6521,86.46164426877469,
17,BKK021,100502.0,คลองลาดพร้าว วัดบางบัว,13.85411,100.5875,10.0,อนุสาวรีย์,บางเขน,กรุงเทพมหานคร,แม่น้ำเจ้าพระยา,Klong Ladprao Bang Bua Temple,Anusawari,Bang Khen,Bangkok,0.0,W,,,-0.33,
18,BPK001,240402.0,บางปะกง,13.548725,101.001545,24.0,ท่าสะอ้าน,บางปะกง,ฉะเชิงเทรา,แม่น้ำบางปะกง,Bangpakong 1,Tha Sa-an,Bang Pakong,Chachoengsao,0.0,W,1.65,1.65,-12.774,
19,BPK002,240113.0,เมืองฉะเชิงเทรา,13.65914,101.06339,24.0,บางพระ,เมืองฉะเชิงเทรา,ฉะเชิงเทรา,แม่น้ำบางปะกง,Bangpakong 2,Bang Phra,Mueang Chachoengsao,Chachoengsao,0.0,W,1.893,2.089,-11.808,
20,BPK003,240302.0,บางน้ำเปรี้ยว,13.87032,101.14574,24.0,บางขนาก,บางน้ำเปรี้ยว,ฉะเชิงเทรา,แม่น้ำบางปะกง,Bang Nam Priao,Bang Ka-nak,Bang Nam Priao,Chachoengsao,0.0,W,2.077,3.562,-9.515,
21,BPK004,240601.0,พนมสารคาม,13.72653,101.35303,24.0,เกาะขนุน,พนมสารคาม,ฉะเชิงเทรา,แม่น้ำบางปะกง,Phanom Sarakham,Ko Khanun,Phanom Sarakham,Chachoengsao,0.0,W,7.145,6.291,-0.794,
22,BSP002,770403.0,คลองขนาน,11.24064,99.43523,77.0,ร่อนทอง,บางสะพาน,ประจวบคีรีขันธ์,ชายฝั่งทะเลประจวบคีรีขันธ์,Khlong Khanan,Ron Thong,Bang Saphan,Prachuap Khiri Khan,7.389,W,16.475,16.765,10.959,
